Curriculum_Name,Job_Title,Coverage,Relevance,Matches_Count,Gaps_Count,Matched_Skills,Gap_Skills
CS Intelligent Systems,Data Scientist,25.3%,80.0%,20,59,"artificial intelligence, computer vision, cybersecurity, data analysis, data analytics, data preprocessing, database design, database modeling, deep learning, exploratory data analysis, html, machine learning, natural language processing, python, r programming, recommender systems, reinforcement learning, software engineering, statistics, web development","a/b testing, ab testing, amazon web services, azure data factory, bayesian modeling, big query, cloud architecture, cloud storage, data cleaning, data cleansing, data extraction, data governance, data ingestion, data integration, data lake, data lineage, data mart, data mining, data pipeline, data pipelines, data profiling, data quality, data transformation, data validation, data visualization, data warehouse, data warehousing, data wrangling, devops, distributed systems, docker, feature engineering, github, google cloud, hypothesis testing, information security, integration testing, javascript, kubernetes, linux, master data management, microservices, ml models, model deployment, model tuning, mysql, nosql, postgresql, recommendation systems, rest api, rest apis, software development lifecycle, spark sql, sql scripting, sql server, statistical modeling, system design, unit testing, web services"
CS Intelligent Systems,Data Analyst,23.0%,56.0%,14,47,"artificial intelligence, computer vision, data analysis, data analytics, database design, exploratory data analysis, html, machine learning, natural language processing, python, r programming, software engineering, statistics, web development","a/b testing, big query, data cleaning, data cleansing, data extraction, data governance, data integration, data lake, data lineage, data loading, data mart, data mining, data pipeline, data pipelines, data profiling, data quality, data transformation, data validation, data visualization, data warehouse, data warehousing, data wrangling, database administration, devops, dimensional modeling, distributed systems, docker, github, hypothesis testing, integration testing, javascript, linux, master data management, microsoft sql server, mysql, nosql, object oriented programming, postgresql, query optimization, rest api, rest apis, shell scripting, sql server, statistical modeling, system design, unit testing, web services"
CS Intelligent Systems,Data Engineer,20.0%,72.0%,18,72,"artificial intelligence, computer vision, cybersecurity, data analysis, data analytics, database design, deep learning, exploratory data analysis, html, machine learning, natural language processing, python, r programming, reinforcement learning, software engineering, statistics, virtualization, web development","a/b testing, amazon web services, apache airflow, api development, azure data factory, big query, cloud architecture, cloud security, cloud sql, data catalog, data cleaning, data cleansing, data extraction, data governance, data ingestion, data integration, data lake, data lakes, data lineage, data loading, data mart, data mining, data pipeline, data pipelines, data profiling, data quality, data transformation, data validation, data visualization, data warehouse, data warehousing, data wrangling, database administration, design patterns, devops, dimensional modeling, distributed systems, docker, feature engineering, github, google cloud, hypothesis testing, informatica data quality, information security, integration testing, javascript, jquery, kubernetes, linux, master data management, microservices, microsoft sql server, ml models, model tuning, mysql, nosql, object oriented programming, postgresql, query optimization, rest api, rest apis, restful api, service oriented architecture, shell scripting, software development lifecycle, spark sql, sql server, statistical modeling, system design, unit testing, web services, windows server"
CS Intelligent Systems,Database Administrator,25.8%,68.0%,17,49,"artificial intelligence, computer vision, cybersecurity, data analysis, data analytics, database design, database modeling, deep learning, html, machine learning, network security, python, r programming, software engineering, statistics, virtualization, web development","amazon web services, azure sql, cloud architecture, cloud storage, data cleansing, data extraction, data governance, data ingestion, data integration, data loading, data mart, data mining, data quality, data transformation, data validation, data visualization, data warehouse, data warehousing, database administration, design patterns, devops, dimensional modeling, distributed systems, docker, google cloud, information security, infrastructure monitoring, integration testing, javascript, jquery, kubernetes, linux, master data management, microservices, microsoft sql server, mysql, nosql, postgresql, query optimization, rest api, rest apis, shell scripting, software development lifecycle, sql scripting, sql server, system design, unit testing, web services, windows server"
CS Intelligent Systems,Data and Analytics Manager,23.9%,68.0%,17,54,"artificial intelligence, cybersecurity, data analysis, data analytics, database design, database modeling, deep learning, exploratory data analysis, html, machine learning, natural language processing, python, r programming, software engineering, statistics, virtualization, web development","a/b testing, amazon web services, cloud architecture, data catalog, data cleaning, data cleansing, data extraction, data governance, data ingestion, data integration, data lake, data lakes, data lineage, data mart, data mining, data pipeline, data pipelines, data profiling, data quality, data transformation, data validation, data vault, data visualization, data warehouse, data warehousing, data wrangling, database administration, design patterns, devops, distributed systems, docker, github, google cloud, hypothesis testing, javascript, jquery, linux, master data management, microsoft sql server, ml models, model deployment, mysql, nosql, object oriented programming, recommendation systems, restful api, software development lifecycle, sql scripting, sql server, statistical modeling, system design, unit testing, web services, windows server"
CS Intelligent Systems,Artificial Intelligence,23.5%,76.0%,19,62,"artificial intelligence, computer vision, cybersecurity, data analysis, data analytics, database design, deep learning, html, machine learning, natural language processing, network security, python, r programming, recommender systems, reinforcement learning, software engineering, statistics, virtualization, web development","a/b testing, amazon web services, api development, azure sql, azure sql database, cloud architecture, cloud storage, data cleaning, data cleansing, data extraction, data governance, data ingestion, data integration, data lake, data lakes, data mart, data mining, data pipeline, data pipelines, data quality, data transformation, data visualization, data warehouse, data warehousing, design patterns, devops, dimensional modeling, distributed systems, docker, feature engineering, github, google cloud, information security, infrastructure monitoring, integration testing, javascript, jquery, kubernetes, linux, microservices, microsoft sql server, ml models, model deployment, mysql, nosql, object oriented programming, penetration testing, recommendation systems, rest api, rest apis, restful api, restful apis, service oriented architecture, shell scripting, software development lifecycle, spark sql, sql server, statistical modeling, system design, unit testing, web services, windows server"
CS Intelligent Systems,Data Visualization Expert,22.5%,80.0%,20,69,"artificial intelligence, computer vision, cybersecurity, data analysis, data analytics, database design, database modeling, deep learning, exploratory data analysis, html, machine learning, natural language processing, python, r programming, recommender systems, reinforcement learning, software engineering, statistics, virtualization, web development","a/b testing, ab testing, amazon web services, azure data factory, azure sql, cisco ios, cloud architecture, data cleaning, data cleansing, data extraction, data governance, data ingestion, data integration, data lake, data lakes, data lineage, data mart, data mining, data pipeline, data pipelines, data profiling, data quality, data transformation, data validation, data visualization, data warehouse, data warehousing, data wrangling, database administration, design patterns, devops, dimensional modeling, distributed systems, docker, feature engineering, github, google cloud, hypothesis testing, information security, infrastructure monitoring, integration testing, javascript, jquery, kubernetes, linux, master data management, microservices, microsoft sql server, ml models, mysql, nosql, object oriented programming, penetration testing, postgresql, power query, query optimization, recommendation systems, rest api, rest apis, shell scripting, software development lifecycle, spark sql, sql scripting, sql server, statistical modeling, system design, unit testing, web services, windows server"
CS Intelligent Systems,Big Data Engineer,18.9%,68.0%,17,73,"artificial intelligence, cybersecurity, data analysis, data analytics, database design, deep learning, exploratory data analysis, html, machine learning, natural language processing, network security, python, r programming, software engineering, statistics, virtualization, web development","amazon web services, apache airflow, api development, azure data factory, azure sql, big query, cloud architecture, cloud security, cloud storage, data catalog, data cleansing, data extraction, data governance, data ingestion, data integration, data lake, data lakes, data lineage, data loading, data mart, data mining, data pipeline, data pipelines, data profiling, data quality, data transformation, data validation, data vault, data visualization, data warehouse, data warehousing, data wrangling, database administration, design patterns, devops, dimensional modeling, dimensional modelling, distributed systems, docker, github, google cloud, hypothesis testing, informatica data quality, information security, integration testing, javascript, jquery, kubernetes, linux, master data management, microservices, microsoft sql server, ml models, mysql, nosql, object oriented programming, postgresql, rest api, rest apis, restful api, restful apis, service oriented architecture, shell scripting, software development lifecycle, spark sql, sql scripting, sql server, statistical modeling, system design, travis ci, unit testing, web services, windows server"
CS Intelligent Systems,IT Consultant,35.3%,48.0%,12,22,"computer vision, cybersecurity, data analysis, data analytics, database design, deep learning, html, network security, python, r programming, software engineering, statistics","cloud security, data governance, data mining, data quality, data validation, data visualization, database administration, design patterns, devops, google cloud, information security, integration testing, javascript, linux, master data management, penetration testing, postgresql, software development lifecycle, system design, unit testing, web services, windows server"
CS Intelligent Systems,IT Systems Administrator,26.1%,48.0%,12,34,"cybersecurity, data analysis, data analytics, database design, html, machine learning, network security, python, r programming, software engineering, statistics, virtualization","amazon web services, cisco ios, cloud architecture, cloud security, cloud storage, data extraction, data validation, data visualization, data warehouse, database administration, devops, distributed systems, docker, github, google cloud, information security, infrastructure monitoring, integration testing, javascript, kubernetes, linux, microsoft sql server, mysql, nosql, penetration testing, postgresql, query optimization, shell scripting, software development lifecycle, sql server, system design, unit testing, web services, windows server"
CS Intelligent Systems,Cloud Architect,23.0%,68.0%,17,57,"artificial intelligence, computer vision, cybersecurity, data analysis, data analytics, database design, deep learning, html, machine learning, natural language processing, network security, python, r programming, software engineering, statistics, virtualization, web development","amazon web services, api development, azure data factory, azure sql, cloud architecture, cloud security, cloud storage, data cleansing, data governance, data ingestion, data integration, data lake, data lineage, data mart, data mining, data pipeline, data pipelines, data profiling, data quality, data validation, data visualization, data warehouse, data warehousing, database administration, design patterns, devops, distributed systems, docker, github, google cloud, information security, infrastructure monitoring, javascript, jquery, kubernetes, linux, master data management, microservices, microsoft sql server, mysql, nosql, object oriented programming, penetration testing, postgresql, recommendation systems, rest api, rest apis, restful api, service oriented architecture, shell scripting, software development lifecycle, sql server, system design, travis ci, unit testing, web services, windows server"
CS Intelligent Systems,Cloud Services Developer,23.6%,68.0%,17,55,"artificial intelligence, computer vision, cybersecurity, data analysis, data analytics, database design, deep learning, html, machine learning, natural language processing, network security, python, r programming, software engineering, statistics, virtualization, web development","a/b testing, amazon web services, api development, azure sql, cloud architecture, cloud security, cloud sql, data cleansing, data ingestion, data integration, data mart, data mining, data pipeline, data pipelines, data profiling, data quality, data visualization, data warehouse, data warehousing, database administration, design patterns, devops, dimensional modeling, distributed systems, docker, feature engineering, github, google cloud, information security, integration testing, javascript, jquery, kubernetes, linux, microservices, microsoft sql server, mysql, nosql, object oriented programming, postgresql, rest api, rest apis, restful api, restful apis, service oriented architecture, shell scripting, software development lifecycle, spark sql, sql server, statistical modeling, system design, travis ci, unit testing, web services, windows server"
CS Intelligent Systems,Full Stack Developer,26.9%,72.0%,18,49,"artificial intelligence, computer vision, cybersecurity, data analysis, data analytics, database design, database modeling, deep learning, html, machine learning, natural language processing, network security, python, r programming, software engineering, statistics, virtualization, web development","a/b testing, amazon web services, api development, azure sql, cloud architecture, cloud security, data ingestion, data integration, data lake, data mining, data pipeline, data pipelines, data visualization, data warehouse, database administration, design patterns, devops, distributed systems, docker, github, google cloud, information security, infrastructure monitoring, integration testing, javascript, jquery, kubernetes, linux, microservices, microsoft sql server, mysql, nosql, object oriented programming, postgresql, query optimization, rest api, rest apis, restful api, restful apis, service oriented architecture, shell scripting, software development lifecycle, sql scripting, sql server, statistical modeling, system design, unit testing, web services, windows server"
CS Intelligent Systems,Information Security Analyst,28.6%,56.0%,14,35,"artificial intelligence, cybersecurity, data analysis, data analytics, database design, deep learning, html, machine learning, network security, python, r programming, software engineering, statistics, virtualization","amazon web services, cisco ios, cloud security, cloud storage, data extraction, data governance, data integration, data mart, data mining, data quality, data transformation, data validation, data visualization, data warehouse, database administration, design patterns, devops, github, google cloud, information security, javascript, jquery, linux, microsoft sql server, mysql, penetration testing, postgresql, query optimization, shell scripting, software development lifecycle, sql scripting, sql server, system design, web services, windows server"
CS Intelligent Systems,Network Architect,23.0%,56.0%,14,47,"cybersecurity, data analysis, data analytics, database design, deep learning, html, machine learning, network security, python, r programming, software engineering, statistics, virtualization, web development","a/b testing, amazon web services, api development, cisco ios, cloud architecture, cloud security, cloud storage, data governance, data integration, data mining, data pipeline, data pipelines, data quality, data validation, data visualization, data warehouse, database administration, design patterns, devops, distributed systems, docker, github, google cloud, information security, infrastructure monitoring, integration testing, javascript, jquery, kubernetes, linux, microservices, microsoft sql server, mysql, nosql, object oriented programming, penetration testing, postgresql, rest api, rest apis, service oriented architecture, shell scripting, software development lifecycle, sql server, system design, unit testing, web services, windows server"
CS Game Development,Data Scientist,11.4%,50.0%,9,70,"cybersecurity, database design, database modeling, html, python, r programming, software engineering, system design, web development","a/b testing, ab testing, amazon web services, artificial intelligence, azure data factory, bayesian modeling, big query, cloud architecture, cloud storage, computer vision, data analysis, data analytics, data cleaning, data cleansing, data extraction, data governance, data ingestion, data integration, data lake, data lineage, data mart, data mining, data pipeline, data pipelines, data preprocessing, data profiling, data quality, data transformation, data validation, data visualization, data warehouse, data warehousing, data wrangling, deep learning, devops, distributed systems, docker, exploratory data analysis, feature engineering, github, google cloud, hypothesis testing, information security, integration testing, javascript, kubernetes, linux, machine learning, master data management, microservices, ml models, model deployment, model tuning, mysql, natural language processing, nosql, postgresql, recommendation systems, recommender systems, reinforcement learning, rest api, rest apis, software development lifecycle, spark sql, sql scripting, sql server, statistical modeling, statistics, unit testing, web services"
CS Game Development,Data Analyst,11.5%,38.9%,7,54,"database design, html, python, r programming, software engineering, system design, web development","a/b testing, artificial intelligence, big query, computer vision, data analysis, data analytics, data cleaning, data cleansing, data extraction, data governance, data integration, data lake, data lineage, data loading, data mart, data mining, data pipeline, data pipelines, data profiling, data quality, data transformation, data validation, data visualization, data warehouse, data warehousing, data wrangling, database administration, devops, dimensional modeling, distributed systems, docker, exploratory data analysis, github, hypothesis testing, integration testing, javascript, linux, machine learning, master data management, microsoft sql server, mysql, natural language processing, nosql, object oriented programming, postgresql, query optimization, rest api, rest apis, shell scripting, sql server, statistical modeling, statistics, unit testing, web services"
CS Game Development,Data Engineer,11.1%,55.6%,10,80,"cybersecurity, database design, design patterns, html, python, r programming, software engineering, system design, virtualization, web development","a/b testing, amazon web services, apache airflow, api development, artificial intelligence, azure data factory, big query, cloud architecture, cloud security, cloud sql, computer vision, data analysis, data analytics, data catalog, data cleaning, data cleansing, data extraction, data governance, data ingestion, data integration, data lake, data lakes, data lineage, data loading, data mart, data mining, data pipeline, data pipelines, data profiling, data quality, data transformation, data validation, data visualization, data warehouse, data warehousing, data wrangling, database administration, deep learning, devops, dimensional modeling, distributed systems, docker, exploratory data analysis, feature engineering, github, google cloud, hypothesis testing, informatica data quality, information security, integration testing, javascript, jquery, kubernetes, linux, machine learning, master data management, microservices, microsoft sql server, ml models, model tuning, mysql, natural language processing, nosql, object oriented programming, postgresql, query optimization, reinforcement learning, rest api, rest apis, restful api, service oriented architecture, shell scripting, software development lifecycle, spark sql, sql server, statistical modeling, statistics, unit testing, web services, windows server"
CS Game Development,Database Administrator,18.2%,66.7%,12,54,"cybersecurity, database design, database modeling, design patterns, html, network security, python, r programming, software engineering, system design, virtualization, web development","amazon web services, artificial intelligence, azure sql, cloud architecture, cloud storage, computer vision, data analysis, data analytics, data cleansing, data extraction, data governance, data ingestion, data integration, data loading, data mart, data mining, data quality, data transformation, data validation, data visualization, data warehouse, data warehousing, database administration, deep learning, devops, dimensional modeling, distributed systems, docker, google cloud, information security, infrastructure monitoring, integration testing, javascript, jquery, kubernetes, linux, machine learning, master data management, microservices, microsoft sql server, mysql, nosql, postgresql, query optimization, rest api, rest apis, shell scripting, software development lifecycle, sql scripting, sql server, statistics, unit testing, web services, windows server"
CS Game Development,Data and Analytics Manager,15.5%,61.1%,11,60,"cybersecurity, database design, database modeling, design patterns, html, python, r programming, software engineering, system design, virtualization, web development","a/b testing, amazon web services, artificial intelligence, cloud architecture, data analysis, data analytics, data catalog, data cleaning, data cleansing, data extraction, data governance, data ingestion, data integration, data lake, data lakes, data lineage, data mart, data mining, data pipeline, data pipelines, data profiling, data quality, data transformation, data validation, data vault, data visualization, data warehouse, data warehousing, data wrangling, database administration, deep learning, devops, distributed systems, docker, exploratory data analysis, github, google cloud, hypothesis testing, javascript, jquery, linux, machine learning, master data management, microsoft sql server, ml models, model deployment, mysql, natural language processing, nosql, object oriented programming, recommendation systems, restful api, software development lifecycle, sql scripting, sql server, statistical modeling, statistics, unit testing, web services, windows server"
CS Game Development,Artificial Intelligence,13.6%,61.1%,11,70,"cybersecurity, database design, design patterns, html, network security, python, r programming, software engineering, system design, virtualization, web development","a/b testing, amazon web services, api development, artificial intelligence, azure sql, azure sql database, cloud architecture, cloud storage, computer vision, data analysis, data analytics, data cleaning, data cleansing, data extraction, data governance, data ingestion, data integration, data lake, data lakes, data mart, data mining, data pipeline, data pipelines, data quality, data transformation, data visualization, data warehouse, data warehousing, deep learning, devops, dimensional modeling, distributed systems, docker, feature engineering, github, google cloud, information security, infrastructure monitoring, integration testing, javascript, jquery, kubernetes, linux, machine learning, microservices, microsoft sql server, ml models, model deployment, mysql, natural language processing, nosql, object oriented programming, penetration testing, recommendation systems, recommender systems, reinforcement learning, rest api, rest apis, restful api, restful apis, service oriented architecture, shell scripting, software development lifecycle, spark sql, sql server, statistical modeling, statistics, unit testing, web services, windows server"
CS Game Development,Data Visualization Expert,12.4%,61.1%,11,78,"cybersecurity, database design, database modeling, design patterns, html, python, r programming, software engineering, system design, virtualization, web development","a/b testing, ab testing, amazon web services, artificial intelligence, azure data factory, azure sql, cisco ios, cloud architecture, computer vision, data analysis, data analytics, data cleaning, data cleansing, data extraction, data governance, data ingestion, data integration, data lake, data lakes, data lineage, data mart, data mining, data pipeline, data pipelines, data profiling, data quality, data transformation, data validation, data visualization, data warehouse, data warehousing, data wrangling, database administration, deep learning, devops, dimensional modeling, distributed systems, docker, exploratory data analysis, feature engineering, github, google cloud, hypothesis testing, information security, infrastructure monitoring, integration testing, javascript, jquery, kubernetes, linux, machine learning, master data management, microservices, microsoft sql server, ml models, mysql, natural language processing, nosql, object oriented programming, penetration testing, postgresql, power query, query optimization, recommendation systems, recommender systems, reinforcement learning, rest api, rest apis, shell scripting, software development lifecycle, spark sql, sql scripting, sql server, statistical modeling, statistics, unit testing, web services, windows server"
CS Game Development,Big Data Engineer,12.2%,61.1%,11,79,"cybersecurity, database design, design patterns, html, network security, python, r programming, software engineering, system design, virtualization, web development","amazon web services, apache airflow, api development, artificial intelligence, azure data factory, azure sql, big query, cloud architecture, cloud security, cloud storage, data analysis, data analytics, data catalog, data cleansing, data extraction, data governance, data ingestion, data integration, data lake, data lakes, data lineage, data loading, data mart, data mining, data pipeline, data pipelines, data profiling, data quality, data transformation, data validation, data vault, data visualization, data warehouse, data warehousing, data wrangling, database administration, deep learning, devops, dimensional modeling, dimensional modelling, distributed systems, docker, exploratory data analysis, github, google cloud, hypothesis testing, informatica data quality, information security, integration testing, javascript, jquery, kubernetes, linux, machine learning, master data management, microservices, microsoft sql server, ml models, mysql, natural language processing, nosql, object oriented programming, postgresql, rest api, rest apis, restful api, restful apis, service oriented architecture, shell scripting, software development lifecycle, spark sql, sql scripting, sql server, statistical modeling, statistics, travis ci, unit testing, web services, windows server"
CS Game Development,IT Consultant,26.5%,50.0%,9,25,"cybersecurity, database design, design patterns, html, network security, python, r programming, software engineering, system design","cloud security, computer vision, data analysis, data analytics, data governance, data mining, data quality, data validation, data visualization, database administration, deep learning, devops, google cloud, information security, integration testing, javascript, linux, master data management, penetration testing, postgresql, software development lifecycle, statistics, unit testing, web services, windows server"
CS Game Development,IT Systems Administrator,19.6%,50.0%,9,37,"cybersecurity, database design, html, network security, python, r programming, software engineering, system design, virtualization","amazon web services, cisco ios, cloud architecture, cloud security, cloud storage, data analysis, data analytics, data extraction, data validation, data visualization, data warehouse, database administration, devops, distributed systems, docker, github, google cloud, information security, infrastructure monitoring, integration testing, javascript, kubernetes, linux, machine learning, microsoft sql server, mysql, nosql, penetration testing, postgresql, query optimization, shell scripting, software development lifecycle, sql server, statistics, unit testing, web services, windows server"
CS Game Development,Cloud Architect,14.9%,61.1%,11,63,"cybersecurity, database design, design patterns, html, network security, python, r programming, software engineering, system design, virtualization, web development","amazon web services, api development, artificial intelligence, azure data factory, azure sql, cloud architecture, cloud security, cloud storage, computer vision, data analysis, data analytics, data cleansing, data governance, data ingestion, data integration, data lake, data lineage, data mart, data mining, data pipeline, data pipelines, data profiling, data quality, data validation, data visualization, data warehouse, data warehousing, database administration, deep learning, devops, distributed systems, docker, github, google cloud, information security, infrastructure monitoring, javascript, jquery, kubernetes, linux, machine learning, master data management, microservices, microsoft sql server, mysql, natural language processing, nosql, object oriented programming, penetration testing, postgresql, recommendation systems, rest api, rest apis, restful api, service oriented architecture, shell scripting, software development lifecycle, sql server, statistics, travis ci, unit testing, web services, windows server"
CS Game Development,Cloud Services Developer,15.3%,61.1%,11,61,"cybersecurity, database design, design patterns, html, network security, python, r programming, software engineering, system design, virtualization, web development","a/b testing, amazon web services, api development, artificial intelligence, azure sql, cloud architecture, cloud security, cloud sql, computer vision, data analysis, data analytics, data cleansing, data ingestion, data integration, data mart, data mining, data pipeline, data pipelines, data profiling, data quality, data visualization, data warehouse, data warehousing, database administration, deep learning, devops, dimensional modeling, distributed systems, docker, feature engineering, github, google cloud, information security, integration testing, javascript, jquery, kubernetes, linux, machine learning, microservices, microsoft sql server, mysql, natural language processing, nosql, object oriented programming, postgresql, rest api, rest apis, restful api, restful apis, service oriented architecture, shell scripting, software development lifecycle, spark sql, sql server, statistical modeling, statistics, travis ci, unit testing, web services, windows server"
CS Game Development,Full Stack Developer,17.9%,66.7%,12,55,"cybersecurity, database design, database modeling, design patterns, html, network security, python, r programming, software engineering, system design, virtualization, web development","a/b testing, amazon web services, api development, artificial intelligence, azure sql, cloud architecture, cloud security, computer vision, data analysis, data analytics, data ingestion, data integration, data lake, data mining, data pipeline, data pipelines, data visualization, data warehouse, database administration, deep learning, devops, distributed systems, docker, github, google cloud, information security, infrastructure monitoring, integration testing, javascript, jquery, kubernetes, linux, machine learning, microservices, microsoft sql server, mysql, natural language processing, nosql, object oriented programming, postgresql, query optimization, rest api, rest apis, restful api, restful apis, service oriented architecture, shell scripting, software development lifecycle, sql scripting, sql server, statistical modeling, statistics, unit testing, web services, windows server"
CS Game Development,Information Security Analyst,20.4%,55.6%,10,39,"cybersecurity, database design, design patterns, html, network security, python, r programming, software engineering, system design, virtualization","amazon web services, artificial intelligence, cisco ios, cloud security, cloud storage, data analysis, data analytics, data extraction, data governance, data integration, data mart, data mining, data quality, data transformation, data validation, data visualization, data warehouse, database administration, deep learning, devops, github, google cloud, information security, javascript, jquery, linux, machine learning, microsoft sql server, mysql, penetration testing, postgresql, query optimization, shell scripting, software development lifecycle, sql scripting, sql server, statistics, web services, windows server"
